Acrobatics	Badminton	Camping	Dance	E-sports	Farming	Gambling	Hacking	Ice climbing	Jam making	Karaoke	Lacrosse	Magic	Nail art	Oboe playing	Paint	Quarter collecting	Racing	Sailing	Table tennis	Uber driving	Vaulting	Walking	Xbox	Yachting	Zapping
Artist	Beekeeping	catching fish	Dice	Extreme sports	Fixing things	Graffiti	Hangliding	Irish dancing	Jazz dancing	kicking a soccer ball	Lip syncing	Movie watching	nerf guns	outside	Paper mache		ride a bike	Scrapbooking	tetris	understanding people		Wind surfing			
Act	basket ball	Collecting	Daydreaming	egging houses	Framing	guitar playing	Harp playing	ice scating	Joke telling	knife sharpening	Lace making	Mask making	Night sky watching	Otter watching	Praying		Riding horse	Ski	Tumbling	Uno playing					
Ant farm	Bouncing	Chatting	Dart	Esports	Fitness	Gold digging	Horse racing	internet browsing	Jelly making	Kicking Rocks	Lassoing	Modelling	Navigating	Outdoor activities	Picking apples		River rafting	Sunbathing	Tailoring	Undoing knots					
Ant collecting	Batting	Catfishing	DIY	eavesdropping	Frisbee golf	Giving	helping others	ice making	juice making	kpop	Learning languages	Matchmaking	Nail polishing	Online games	Playing guitar		Relaxing	Snorkeling		Underwater dancing					
Adventuring	Bathing	Candle making	Drifting	egg painting	Fingerpainting	going hiking	Harp	Ice-skating	jumping jack	kareoke	Lake fishing	Mowing	nails	Opera singer	Poetry		Robotics	Sledding							
Animal watching	Billiards	catch	DJing	Electrician	Fixing cars	Going for a walk	horse back riding	Improvice sculpture	Joking around	Kart Racing	Listen music		Noodle making	Organizing things	Printing		Race	Sky diving							
Acrobats	bake	Calligraphy	Dieting	Elk hunting	Flying kite	grass cutting	Hoverboarding	Illustrations	Joy riding	Kite Flying	Listen to music		note writing	Ocean surfing	piano playing		rollerblading	Sketching							
Airplane models	Beatboxing	Caroling	Disc golf	esports	fishing	Gifting	house hunting	Imagining	Jigsaw	Knife collecting	long jumping		nickle collecting	Open water swimming	pintarpie making		Rap	Salsa dancing							
Art collecting	Braiding	Clubbing	disco	Entertainer	Fox hunting	Going to the mall	Hurling	Ink art	jockey	Kneading bread			Nature	outdoor camping	Pickling		running	Snowboarding							
apple bobbing	Bobsledding	Canning	dumpster diving	Entertainment	frying food	Gossiping	Handwriting	ice eating	Junk collecting	Kilting			Note taking	overthinking	Playing sports		race car driving	skate							
Airsoft	Braiding hair	Card collecting	dog sitting	elephant hunting	Fashion	Garage bandgraphing	hair styling	ice skiing	Jockeying	Kiteing			Netflix watching	Ornathology	Pole vaulting		Racquetball	Softball							
animal hunting	Bodybuilding	cake decorating	Dog training	Entomology	finger knitting	Getting laid	hand ball	icing cake	Journalling	Kicking footballs			News reading	Ocean watching	Playing soccer		Ride								
American football	Bike	Card making	drive	E-sport	French braiding	Galavanting	Housekeeping	indoor soccer	jet ski	kite flying			Night running	Obstacle courses	playing piano		Rest								
Animating	Babysitting	Cheerleading	Drama	Earning money	fiddle	gamer	Hip hop dancing	International travel	jump rope	Kite surf			Nordic Skiing	Ocean swimming	playing football		Rudern								
Animals	birdwatching	Car driving	Doodle	Egging	Finding rocks	Going to the movies	Hunt	Imitating	Journalism	Kazoo			notetaking		Playing chess		Rain dancing								
Acupuncture	Baseball cards	Croquet	Doll making	Equitation	food eating	Gold panning	Having fun	indoor swimming	jewellery making	Kneading dough			Night walks		Puzzle		Raving								
Ax throwing	Board games	Cake baking	Design	Equestrianism	flute	Gamble	Hooping	investigate	jokes	Killing bugs					Play games		Roulette								
Alchemy	Band	cartwheeling	deer hunting	Egg hunting	flying drones	Geology	High jumping	icehockey	Jam-making	Kite Boarding					Party		Roller derby								
Arranging flowers	buying	Carving wood	Drag	Excavating	Flying airplanes	Going to the park	Hanging out	Icefishing	Jesting	Kitesurf					Pickleball		Raquetball								
air guitar	Backgammon	Cross stitch	dining out	Excercising	Fooseball	Garage sales	House cleaning	internet trolling	Judging	Kite sailing					Playstation		Ring making								
Air gliding	Bouldering	Collecting coins	Dolls	Embroidering	Fan dancing	Going outside	Hitchhiking	Icecream making	Jamming to music	kangaroo riding					pony riding		recycling								
Arobics	Buying stuff	Checkers	Danse	Entertain	flirting	Game playing	Hair cutting	Instrument playing	Jetski	kilt making					Planking		Railroading								
Airplane building	Birdwatching	Car collecting	Digging for treasure	Event planning	flying a plane	Geography	Hanging out with friends	Inventing things	Jumping out of planes	Krumping					PAINTING		Roller Blading								
Armwrestling	body building	Choir	domino	Electric guitar playing	Fangirling	Graphic design	hike	Imitation	jello making	Key making					Pranking		Ride horses								
acrobat	building legos	Cross stitching	donut making	Electrical Engineering	Free running	Giving gifts	High Jump	Internet browsing	jump the rope 	Kitchen cleaning					playing basketball		Rope climbing								
Antique collecting	Bridge	Cartography	Doll collecting	elephant training	fire eating	Grass mowing	Handicrafts	Impressions	Joust	Kickbox					Pokemon		reading books								
Archeology	Baseball card collecting	Chilling	dreaming	Eat food	Fasting	Go karts	Hot air ballooning	Ice sculpturing	Jocking	kite building							Rocking								
Artwork	Betting	Ceramics	dirt bike riding	Egg dying	Finding things	Go shopping	hip hop	Ink calligraphy	Javlin	kick a ball							Roaming								
arson	Buying clothes	Cello	Dirty dancing	Equestrian riding 	Fireworks	Gameboy	Hand painting	Irish dance 	jazz music	Key collecting							read a book 								
Astrophysics	books	Cross country	Digging holes 	E-gaming	Facebook 	Getting high	Harpooning	ink	jiving	kanoing							Roblox								
Alpinism	button collecting	Carting	Dirtbiking	Explor	Fan making	Going to the gym 	Hatmaking 	ice picking	Jamming out	Kneeboarding							Rifle shooting								
Airbrushing	Birding	Caligraphy	dungeons and dragons	eegg throwing	Films	go 	horse ridding	Indian dancing	Junk collector	kiss 							ring toss								
Aerobic	Ballroom dancing	Catering	dunking	escape room	fish	go dancing	horseriding	icing a cake	jewelry	karts							rc cars								
Archaeology	Bicycle	collecting cards 	designing	Eel fishing	Falconry	Goose hunting	Hang-gliding	investigation	Joke writing	kick ball							Racing horses								
Applepicking 	Balloon animals	Collecting rocks	Dunking basketballs	Egg decorating	Fantasy football	Getting drunk	Hip hop	ice cream maker	Jumping on trampolines	keeping bees							Reading								
Arts & Crafts	Bread making	cat sitting	Dart throwing	earn money	Florist	giggling	horse racing	Ink drawings	job hunting	knife fighting							rope jumping								
Apple-picking	Bowls	creative writing	drag racing	E-shopping	falling	gift wrapping	Handstands	internet games	Joyriding	kicking the ball							Read books								
Acrylic painting	Brewing	Coaching	Dive	excersice	Fist fighting	Gastronomy	horses	insect catching	Jet-skiing	Killer							Rockclimbing								
Aeronautics	Busking	Colouring in	Dying clothes	Electric slide	Fixing	Go fishing	Handcrafting	ice staking	Jackhammering	kayaking							Robots								
Advertising	Bartending	Catching butterflies	Diary writing	Easter egg hunting	flamenco dancing	gold digging	Hair dressing	I spy	joke around	Kite playing							Rambling								
Ant farms	Building things	Card tricks	diving	eating hotdogs	Furniture making	Gyminggoat herding	Hand sewing	Inlineskating	juicing fruits	Kleptomania							Riding motorcycles								
Anime watching	Blowing glass	Climbing rocks	Drumday dreaming	emailing	Free climbing	geocatching	HopHouse flipping	Insects	JUGGLING	Krav Maga							Ride a horse								
airplane spotting	building models	Cruising	Donut eating	editing videos	Fornication	Going for walks	Hitting baseballs	ink making	Jet ski	Kicking a football							Rollerblade								
Airhockey	Baking cookies	Climb	Dungeons & Dragons	eating chips	flower planting	Going for a run	Hurdling	Illusionist	Jazz dance	Knee boarding							rubix cube								
archery	Beach volleyball	crossfit	Dress making	Eventing	Free diving	Gymnastic	hand gliding	Investigating murders	Jailbreaking	Kidding							Robot building								
Anthropology	Balling	Cake making	Dueling	Etching glas	folding paper	Gymming	hocky	Ice scuplting	Jewlery Making	kicking soccer ball							rug making								
agriculture	Boardgames	Clapping	Deep sea fishing	seating snacks	fliegen	Glass making	hula dancing	ignoring people	lantern carving	Knitting socks							rolling down hills								
Arm wrestle	Beer drinking	Candy making	DnD	Eagle spotting	Frog catching	going on a walk	High jumphang out	Insect collection	Jewelery making	Keeping fit							Rhyming								
Actor	Bubble blowing	Cartooning	Donkey riding	Eating exotic foods	Filmmaking	Going skiing	High diving	Idolizing		kitchen decorating							roaring								
Arrow shooting	Blowing bubbles	Catching bugs	dinner	e-sport	firefighting	Good	Harvesting	Invent		Keyboard							rockclimbing								
Aeroplane flying	bread making	Clarinet	Drummer	Egg rolling	french kissing	Grow plants	hair dressing	Inline skaten		Kicking football							Roller skate								
apple picking	Badmitton	candle making	dog	Engine building	fire breathing	Go cart racing	House decorating	interpretive dance		Kangaroo hunting							Riding my bike								
Antiques	Body building	Coin collection	dream	Entertaining people	Flowering	Gazing	horses	Interior decorating		knives							rock throwing								
Animal husbandry	Binge watching	Cutting hair	Deadlifting	electric scootering	Forestry	garage sale shopping	Heavy lifting	Inline-Skating		Kite collecting							Rock painting								
Anagrams	Badmington	Climbing trees	Dirt bike racing	earing making	Friends	Gazing at stars	history	indoor football		killing deer							rally								
Anarchy	bear hunting	Chopping wood	digging for gold	edging	Freestyle rapping	Gunsmithing	Henna	Interviewing									Reddit								
aiming	bull riding	Cinema	duck feeding	enjoying life	fire dancing	going on walks	hanggliding	Ink stamping									Racecars								
Applying makeup	Burping	creating art	Drying flowers	eating eggs	freestyling	gold mining	hoping	Imagining things									robot making								
Apple pie baking	Backen	Cutting wood	Drone flying	Envelope collecting	Fishing	Go to the park	Housework	Imitating people									Riddles								
Apple pie making	buying things	counting cards	Doing art	eating icecream	Fashion design	Golfen	Haircutting	Ice Skating									Rock and roll								
Achery	Buy	catching	dressing	electric scooter	Flame throwing	grape eating	Hugging trees	Ice Skate									Racing bikes								
artistry	basket	Collecting things	Disco Dancing	Excersise	Frying	garden	Harping	Inspecting									Ride bike								
art and craft	Ballooning	Cribbage	designing clothes		Fiddle playing	Gimnastic	Hoola hoop	Indexing									rabbit hunting								
Action figure collecting	Baking cakes	Collector	dressing up		folk dancing	garbage picking	home improvement	Indoor volleyball																	
Arts and Craft	Base jumping	Chanting				growing vegetables	Hurdles	icepicking																	
Arborist	Bass fishing	cheese making				Go carting	Hill walking																		
Art collector	boat riding	cross country skiing																							
	Bar hopping	card games																							
	Breaking things	Crabbing																							
	Binge watching Netflix	Count																							
